code,CCS,coding_system
3E0Q0E1,1,ICDPROC10
3E0Q0GC,1,ICDPROC10
3E0Q0NZ,1,ICDPROC10
3E0Q0SF,1,ICDPROC10
3E0Q0TZ,1,ICDPROC10
0G5G0ZZ,10,ICDPROC10
0G5G3ZZ,10,ICDPROC10
0G5G4ZZ,10,ICDPROC10
0G5H0ZZ,10,ICDPROC10
0G5H3ZZ,10,ICDPROC10
0G5H4ZZ,10,ICDPROC10
0G5K0ZZ,10,ICDPROC10
0G5K3ZZ,10,ICDPROC10
0G5K4ZZ,10,ICDPROC10
0GBG0ZZ,10,ICDPROC10
0GBG3ZZ,10,ICDPROC10
0GBG4ZZ,10,ICDPROC10
0GBH0ZZ,10,ICDPROC10
0GBH3ZZ,10,ICDPROC10
0GBH4ZZ,10,ICDPROC10
0GBJ0ZZ,10,ICDPROC10
0GBJ3ZZ,10,ICDPROC10
0GBJ4ZZ,10,ICDPROC10
0GTG0ZZ,10,ICDPROC10
0GTG4ZZ,10,ICDPROC10
0GTH0ZZ,10,ICDPROC10
0GTH4ZZ,10,ICDPROC10
0GTK0ZZ,10,ICDPROC10
0GTK4ZZ,10,ICDPROC10
0T908ZX,100,ICDPROC10
0T914ZX,100,ICDPROC10
0T918ZX,100,ICDPROC10
0T964ZX,100,ICDPROC10
0T968ZX,100,ICDPROC10
0T974ZX,100,ICDPROC10
0T978ZX,100,ICDPROC10
0T984ZX,100,ICDPROC10
0T988ZX,100,ICDPROC10
0T9B4ZX,100,ICDPROC10
0T9B8ZX,100,ICDPROC10
0T9C4ZX,100,ICDPROC10
0T9C8ZX,100,ICDPROC10
0T9D4ZX,100,ICDPROC10
0T9D8ZX,100,ICDPROC10
0TB04ZX,100,ICDPROC10
0TB08ZX,100,ICDPROC10
0TB14ZX,100,ICDPROC10
0TB18ZX,100,ICDPROC10
0TB34ZX,100,ICDPROC10
0TB38ZX,100,ICDPROC10
0TB44ZX,100,ICDPROC10
0TB48ZX,100,ICDPROC10
0TB64ZX,100,ICDPROC10
0TB68ZX,100,ICDPROC10
0TB74ZX,100,ICDPROC10
0TB78ZX,100,ICDPROC10
0TBB4ZX,100,ICDPROC10
0TBB4ZZ,100,ICDPROC10
0TBB8ZX,100,ICDPROC10
0TBC4ZX,100,ICDPROC10
0TBC4ZZ,100,ICDPROC10
0TBC8ZX,100,ICDPROC10
0TBD4ZX,100,ICDPROC10
0TBD7ZX,100,ICDPROC10
0TBD8ZX,100,ICDPROC10
0TJ54ZZ,100,ICDPROC10
0TJ57ZZ,100,ICDPROC10
0TJ58ZZ,100,ICDPROC10
0TJ94ZZ,100,ICDPROC10
0TJ97ZZ,100,ICDPROC10
0TJ98ZZ,100,ICDPROC10
0TJB4ZZ,100,ICDPROC10
0TJB7ZZ,100,ICDPROC10
0TJB8ZZ,100,ICDPROC10
0TJD4ZZ,100,ICDPROC10
0TJD7ZZ,100,ICDPROC10
0TJD8ZZ,100,ICDPROC10
0TJDXZZ,100,ICDPROC10
0T507ZZ,101,ICDPROC10
0T508ZZ,101,ICDPROC10
0T517ZZ,101,ICDPROC10
0T518ZZ,101,ICDPROC10
0T537ZZ,101,ICDPROC10
0T538ZZ,101,ICDPROC10
0T547ZZ,101,ICDPROC10
0T548ZZ,101,ICDPROC10
0T567ZZ,101,ICDPROC10
0T568ZZ,101,ICDPROC10
0T577ZZ,101,ICDPROC10
0T578ZZ,101,ICDPROC10
0T5B7ZZ,101,ICDPROC10
0T5B8ZZ,101,ICDPROC10
0T5C7ZZ,101,ICDPROC10
0T5C8ZZ,101,ICDPROC10
0TBB7ZZ,101,ICDPROC10
0TBB8ZZ,101,ICDPROC10
0TBC7ZZ,101,ICDPROC10
0TBC8ZZ,101,ICDPROC10
0TC37ZZ,101,ICDPROC10
0TC38ZZ,101,ICDPROC10
0TC47ZZ,101,ICDPROC10
0TC48ZZ,101,ICDPROC10
0TC67ZZ,101,ICDPROC10
0TC68ZZ,101,ICDPROC10
0TC77ZZ,101,ICDPROC10
0TC78ZZ,101,ICDPROC10
0TCB7ZZ,101,ICDPROC10
0TCB8ZZ,101,ICDPROC10
0TCC7ZZ,101,ICDPROC10
0TCC8ZZ,101,ICDPROC10
0TN07ZZ,101,ICDPROC10
0TN08ZZ,101,ICDPROC10
0TN17ZZ,101,ICDPROC10
0TN18ZZ,101,ICDPROC10
0TN37ZZ,101,ICDPROC10
0TN38ZZ,101,ICDPROC10
0TN47ZZ,101,ICDPROC10
0TN48ZZ,101,ICDPROC10
0TN67ZZ,101,ICDPROC10
0TN68ZZ,101,ICDPROC10
0TN77ZZ,101,ICDPROC10
0TN78ZZ,101,ICDPROC10
0TNB7ZZ,101,ICDPROC10
0TNB8ZZ,101,ICDPROC10
0TNC7ZZ,101,ICDPROC10
0TNC8ZZ,101,ICDPROC10
0T760DZ,102,ICDPROC10
0T763DZ,102,ICDPROC10
0T764DZ,102,ICDPROC10
0T767DZ,102,ICDPROC10
0T770DZ,102,ICDPROC10
0T773DZ,102,ICDPROC10
0T774DZ,102,ICDPROC10
0T777DZ,102,ICDPROC10
